threads,iterations,lock,run,time_sec,ops_per_sec
1,1000000,sem,1,0.046,21958938
1,1000000,sem,2,0.035,28982592
1,1000000,sem,3,0.022,46078552
1,1000000,mutex,1,0.021,48441213
1,1000000,mutex,2,0.023,44285581
1,1000000,mutex,3,0.018,56380127
1,1000000,spin,1,0.015,67948377
1,1000000,spin,2,0.011,88188430
1,1000000,spin,3,0.010,102439274
1,5000000,sem,1,0.137,36478527
1,5000000,sem,2,0.145,34498778
1,5000000,sem,3,0.229,21832054
1,5000000,mutex,1,0.124,40376088
1,5000000,mutex,2,0.115,43663032
1,5000000,mutex,3,0.119,41887980
1,5000000,spin,1,0.063,79015622
1,5000000,spin,2,0.056,89953458
1,5000000,spin,3,0.066,76144826
1,10000000,sem,1,0.259,38617884
1,10000000,sem,2,0.255,39289933
1,10000000,sem,3,0.259,38651170
1,10000000,mutex,1,0.207,48332840
1,10000000,mutex,2,0.213,47015764
1,10000000,mutex,3,0.225,44502410
1,10000000,spin,1,0.118,85086666
1,10000000,spin,2,0.127,78987529
1,10000000,spin,3,0.117,85628668
2,1000000,sem,1,0.034,29844374
2,1000000,sem,2,0.035,28500096
2,1000000,sem,3,0.034,29005872
2,1000000,mutex,1,0.041,24229888
2,1000000,mutex,2,0.031,32729186
2,1000000,mutex,3,0.020,49627122
2,1000000,spin,1,0.046,21820548
2,1000000,spin,2,0.031,31898874
2,1000000,spin,3,0.009,109266522
2,5000000,sem,1,0.120,41532427
2,5000000,sem,2,0.151,33088278
2,5000000,sem,3,0.152,32810074
2,5000000,mutex,1,0.115,43628021
2,5000000,mutex,2,0.112,44796580
2,5000000,mutex,3,0.120,41838807
2,5000000,spin,1,0.108,46094495
2,5000000,spin,2,0.105,47402664
2,5000000,spin,3,0.113,44081340
2,10000000,sem,1,0.258,38774319
2,10000000,sem,2,0.283,35287168
2,10000000,sem,3,0.263,38076805
2,10000000,mutex,1,0.212,47087288
2,10000000,mutex,2,0.220,45385986
2,10000000,mutex,3,0.214,46624096
2,10000000,spin,1,0.203,49343460
2,10000000,spin,2,0.193,51755609
2,10000000,spin,3,0.202,49528243
3,1000000,sem,1,0.036,27645267
3,1000000,sem,2,0.040,24976058
3,1000000,sem,3,0.035,28231679
3,1000000,mutex,1,0.028,35861208
3,1000000,mutex,2,0.023,42692276
3,1000000,mutex,3,0.034,29697430
3,1000000,spin,1,0.051,19681734
3,1000000,spin,2,0.010,100988628
3,1000000,spin,3,0.050,20085514
3,5000000,sem,1,0.225,22218132
3,5000000,sem,2,0.199,25160391
3,5000000,sem,3,0.203,24597292
3,5000000,mutex,1,0.116,43046815
3,5000000,mutex,2,0.116,43277922
3,5000000,mutex,3,0.120,41628777
3,5000000,spin,1,0.166,30115233
3,5000000,spin,2,0.153,32588974
3,5000000,spin,3,0.153,32674360
3,10000000,sem,1,0.353,28346858
3,10000000,sem,2,0.397,25199456
3,10000000,sem,3,0.316,31605732
3,10000000,mutex,1,0.221,45191755
3,10000000,mutex,2,0.223,44784388
3,10000000,mutex,3,0.218,45966182
3,10000000,spin,1,0.254,39411890
3,10000000,spin,2,0.254,39387902
3,10000000,spin,3,0.281,35565047
4,1000000,sem,1,0.035,28559496
