threads,seconds,impl,run,total_acquisitions,jain_fairness
1,3,posix,1,1387658,1.0000
1,3,posix,2,1418069,1.0000
1,3,posix,3,1391080,1.0000
1,3,ticket,1,1312752,1.0000
1,3,ticket,2,1361759,1.0000
1,3,ticket,3,1233997,1.0000
1,7,posix,1,3524379,1.0000
1,7,posix,2,3166031,1.0000
1,7,posix,3,2739447,1.0000
1,7,ticket,1,2695859,1.0000
1,7,ticket,2,2654422,1.0000
1,7,ticket,3,2726280,1.0000
1,10,posix,1,4385764,1.0000
1,10,posix,2,4445064,1.0000
1,10,posix,3,4127367,1.0000
1,10,ticket,1,3458749,1.0000
1,10,ticket,2,4024200,1.0000
1,10,ticket,3,4252932,1.0000
2,3,posix,1,1239694,1.0000
2,3,posix,2,1190576,0.9998
2,3,posix,3,1325964,0.9996
2,3,ticket,1,934663,1.0000
2,3,ticket,2,923715,1.0000
2,3,ticket,3,974512,1.0000
2,7,posix,1,3018605,1.0000
2,7,posix,2,2925234,0.9998
2,7,posix,3,2968049,1.0000
2,7,ticket,1,2218609,1.0000
2,7,ticket,2,2253200,1.0000
2,7,ticket,3,2264372,1.0000
2,10,posix,1,4536795,1.0000
2,10,posix,2,4488890,1.0000
2,10,posix,3,4510422,0.9999
2,10,ticket,1,2787348,1.0000
2,10,ticket,2,2710436,1.0000
2,10,ticket,3,2979245,1.0000
3,3,posix,1,1030718,0.9998
3,3,posix,2,995880,0.9998
3,3,posix,3,1019380,0.9995
3,3,ticket,1,719628,0.9999
3,3,ticket,2,753233,0.9999
3,3,ticket,3,586949,0.9999
3,7,posix,1,2280678,0.9992
3,7,posix,2,2485293,0.9989
3,7,posix,3,2368157,1.0000
3,7,ticket,1,1747866,1.0000
3,7,ticket,2,1734123,1.0000
3,7,ticket,3,1703257,1.0000
3,10,posix,1,3472304,1.0000
3,10,posix,2,3617965,1.0000
3,10,posix,3,3616033,1.0000
3,10,ticket,1,2420000,1.0000
3,10,ticket,2,2523130,1.0000
3,10,ticket,3,2443697,1.0000
4,3,posix,1,990862,0.9996
4,3,posix,2,1001808,0.9992
4,3,posix,3,1030295,0.9992
4,3,ticket,1,768593,1.0000
4,3,ticket,2,748516,1.0000
4,3,ticket,3,748130,1.0000
4,7,posix,1,2505200,0.9999
4,7,posix,2,2507261,0.9997
4,7,posix,3,2530217,0.9992
4,7,ticket,1,1715140,1.0000
4,7,ticket,2,1736742,1.0000
4,7,ticket,3,1709880,1.0000
4,10,posix,1,3477513,0.9995
4,10,posix,2,3323301,0.9997
4,10,posix,3,3514694,0.9998
4,10,ticket,1,2489490,1.0000
4,10,ticket,2,2471862,1.0000
4,10,ticket,3,2481905,1.0000
8,3,posix,1,1021870,0.9979
8,3,posix,2,1035424,0.9979
8,3,posix,3,1021293,0.9972
8,3,ticket,1,402195,0.9989
8,3,ticket,2,467164,1.0000
8,3,ticket,3,503880,0.9999
8,7,posix,1,2413977,0.9993
8,7,posix,2,2306815,0.9992
8,7,posix,3,2444726,0.9996
8,7,ticket,1,1036222,1.0000
8,7,ticket,2,1094110,1.0000
8,7,ticket,3,977088,1.0000
8,10,posix,1,3442132,0.9998
8,10,posix,2,3349438,0.9994
8,10,posix,3,3224954,0.9996
8,10,ticket,1,1416016,1.0000
8,10,ticket,2,1299812,1.0000
8,10,ticket,3,1155050,0.9999
16,3,posix,1,966352,0.9776
16,3,posix,2,994358,0.9903
16,3,posix,3,987966,0.9981
16,3,ticket,1,89862,0.9294
16,3,ticket,2,119111,0.9914
16,3,ticket,3,94016,0.8539
16,7,posix,1,2237118,0.9967
16,7,posix,2,2265836,0.9973
16,7,posix,3,1038881,0.9670
16,7,ticket,1,286039,0.9978
16,7,ticket,2,367117,0.9997
16,7,ticket,3,270185,0.9995
16,10,posix,1,3492431,0.9987
16,10,posix,2,3412182,0.9994
16,10,posix,3,3402789,0.9987
16,10,ticket,1,361879,0.9991
16,10,ticket,2,528980,0.9995
16,10,ticket,3,412485,0.9985
32,3,posix,1,1075868,0.9936
32,3,posix,2,1018682,0.9896
32,3,posix,3,1021087,0.9895
32,3,ticket,1,12511,0.1638
32,3,ticket,2,13142,0.8442
32,3,ticket,3,13562,0.3328
32,7,posix,1,2481491,0.9934
32,7,posix,2,2531403,0.9931
32,7,posix,3,2591739,0.9975
32,7,ticket,1,40845,0.7391
32,7,ticket,2,60028,0.9979
32,7,ticket,3,44466,0.6555
32,10,posix,1,3534327,0.9972
32,10,posix,2,3502684,0.9954
32,10,posix,3,3564322,0.9969
32,10,ticket,1,44335,0.4908
32,10,ticket,2,33021,0.2875
32,10,ticket,3,11993,0.7951
64,3,posix,1,882993,0.9302
64,3,posix,2,928624,0.9220
64,3,posix,3,904662,0.9389
64,3,ticket,1,7389,0.0224
64,3,ticket,2,3227,0.0622
64,3,ticket,3,1899,0.5539
64,7,posix,1,2291259,0.9795
64,7,posix,2,2082412,0.9787
64,7,posix,3,2371738,0.9885
64,7,ticket,1,10565,0.0300
64,7,ticket,2,5231,0.1581
64,7,ticket,3,5690,0.0769
64,10,posix,1,3197533,0.9926
64,10,posix,2,3126327,0.9880
64,10,posix,3,2934403,0.9811
64,10,ticket,1,4158,0.0926
64,10,ticket,2,10168,0.0308
64,10,ticket,3,9927,0.0806
